"Date","Price","Open","High","Low","Vol.","Change %"
"05/22/2024","4.8050","4.8500","4.8640","4.8050","19.36M","-0.76%"
"05/21/2024","4.8420","4.8385","4.8600","4.7965","24.20M","-0.74%"
"05/20/2024","4.8780","4.8610","4.8880","4.8545","15.65M","0.36%"
"05/17/2024","4.8605","4.7755","4.8605","4.7750","38.43M","1.17%"
"05/16/2024","4.8045","4.8185","4.8450","4.7970","19.46M","-0.16%"
"05/15/2024","4.8120","4.7715","4.8365","4.7580","36.91M","1.25%"
"05/14/2024","4.7525","4.7500","4.7675","4.6925","22.08M","-0.06%"
"05/13/2024","4.7555","4.7265","4.7640","4.7145","15.42M","0.44%"
"05/10/2024","4.7345","4.7400","4.7745","4.7210","20.12M","-0.74%"
"05/09/2024","4.7700","4.7695","4.7960","4.7265","19.08M","-0.03%"
"05/08/2024","4.7715","4.7330","4.7835","4.7180","37.87M","0.92%"
"05/07/2024","4.7280","4.5915","4.7380","4.5915","48.97M","3.45%"
"05/06/2024","4.5705","4.5350","4.5765","4.5045","22.36M","0.88%"
"05/03/2024","4.5305","4.6000","4.6000","4.5140","","-0.77%"
"05/02/2024","4.5655","4.6065","4.6200","4.5410","34.06M","-0.16%"
"04/30/2024","4.5730","4.6555","4.7360","4.5565","57.11M","-3.74%"
