Date,Open,High,Low,Close,Adj Close,Volume
2021-05-20,5.011000,5.039000,4.928500,5.003000,4.385306,12774418
2021-05-21,5.010000,5.140000,5.009000,5.121000,4.488737,17745397
2021-05-24,5.126000,5.143000,5.053000,5.100000,4.470330,23687278
2021-05-25,5.100000,5.153000,5.078000,5.110000,4.479095,13294237
2021-05-26,5.095000,5.126000,5.011000,5.084000,4.456306,20118795
2021-05-27,5.080000,5.197000,5.073000,5.143000,4.508021,28763225
2021-05-28,5.200000,5.200000,5.090000,5.126000,4.493120,17136855
2021-05-31,5.151000,5.172000,5.131000,5.136000,4.501885,5860234
2021-06-01,5.153000,5.247000,5.141000,5.226000,4.580773,15340313
2021-06-02,5.217000,5.280000,5.168000,5.249000,4.600934,31789391
2021-06-03,5.228000,5.295000,5.222000,5.286000,4.633366,17316609
2021-06-04,5.290000,5.293000,5.210000,5.217000,4.572885,28100848
2021-06-07,5.219000,5.341000,5.210000,5.328000,4.670180,13033939
2021-06-08,5.350000,5.398000,5.260000,5.313000,4.657032,14754023
2021-06-09,5.291000,5.301000,5.196000,5.265000,4.614958,10983054
2021-06-10,5.271000,5.351000,5.240000,5.273000,4.621971,15075048
2021-06-11,5.250000,5.276000,5.224000,5.246000,4.598304,8086048
2021-06-14,5.258000,5.343000,5.258000,5.343000,4.683328,17337872
2021-06-15,5.345000,5.378000,5.292000,5.370000,4.706995,22940752
2021-06-16,5.413000,5.440000,5.286000,5.309000,4.653526,15058342
2021-06-17,5.360000,5.548000,5.359000,5.397000,4.730660,25333802
2021-06-18,5.320000,5.381000,5.183000,5.222000,4.577268,52514651
2021-06-21,5.120000,5.265000,5.090000,5.238000,4.591291,23520257
2021-06-22,5.298000,5.298000,5.188000,5.278000,4.626353,13830238
2021-06-23,5.300000,5.340000,5.270000,5.270000,4.619341,12679182
2021-06-24,5.289000,5.393000,5.283000,5.330000,4.671933,20442645
2021-06-25,5.370000,5.437000,5.329000,5.431000,4.760464,15899536
2021-06-28,5.426000,5.440000,5.277000,5.277000,4.625476,14757515
2021-06-29,5.277000,5.338000,5.264000,5.292000,4.638625,8637147
2021-06-30,5.255000,5.287000,5.188000,5.228000,4.582527,21850283
2021-07-01,5.290000,5.409000,5.284000,5.409000,4.741179,13174031
2021-07-02,5.400000,5.424000,5.286000,5.295000,4.641254,10122214
2021-07-05,5.295000,5.439000,5.295000,5.429000,4.758710,7540236
2021-07-06,5.406000,5.438000,5.276000,5.284000,4.631612,14087349
2021-07-07,5.290000,5.306000,5.162000,5.220000,4.575514,16897228
2021-07-08,5.150000,5.159000,5.018000,5.049000,4.425626,20123985
2021-07-09,5.080000,5.227000,5.045000,5.227000,4.581650,12218060
2021-07-12,5.243000,5.268000,5.126000,5.258000,4.608823,13774331
2021-07-13,5.260000,5.285000,5.118000,5.148000,4.512403,12500114
2021-07-14,5.142000,5.246000,5.127000,5.170000,4.531687,10057768
2021-07-15,5.156000,5.210000,5.108000,5.196000,4.554478,7792625
2021-07-16,5.215000,5.245000,5.043000,5.090000,4.461565,13601713
2021-07-19,5.011000,5.053000,4.853000,4.914000,4.307294,16695473
2021-07-20,4.963500,5.039000,4.909000,5.026000,4.405467,12425023
2021-07-21,5.034000,5.226000,5.013000,5.224000,4.579021,15857135
2021-07-22,5.240000,5.333000,5.223000,5.251000,4.602686,13182014
2021-07-23,5.230000,5.390000,5.230000,5.366000,4.703488,13841780
2021-07-26,5.306000,5.490000,5.236000,5.480000,4.803414,18132044
2021-07-27,5.428000,5.479000,5.392000,5.443000,4.770981,11598783
2021-07-28,5.464000,5.491000,5.358000,5.372000,4.708747,21229257
2021-07-29,5.389000,5.492000,5.388000,5.412000,4.743809,13771739
2021-07-30,5.353000,5.455000,5.301000,5.411000,4.742932,17910869
2021-08-02,5.420000,5.563000,5.403000,5.450000,4.777117,29049719
2021-08-03,5.480000,5.622000,5.456000,5.570000,4.882301,18605118
2021-08-04,5.590000,5.670000,5.569000,5.664000,4.964696,14046076
2021-08-05,5.582000,5.686000,5.581000,5.653000,4.955054,14126734
2021-08-06,5.650000,5.783000,5.632000,5.762000,5.050596,13849220
2021-08-09,5.747000,5.794000,5.713000,5.760000,5.048843,10518060
2021-08-10,5.735000,5.831000,5.722000,5.826000,5.106695,11816635
2021-08-11,5.840000,5.910000,5.807000,5.905000,5.175941,11163564
2021-08-12,5.892000,5.932000,5.854000,5.889000,5.161916,10567279
2021-08-13,5.900000,5.913000,5.845000,5.861000,5.137373,19239212
2021-08-16,5.790000,5.904000,5.750000,5.816000,5.097929,8086118
2021-08-17,5.753000,5.775000,5.672000,5.673000,4.972585,18238708
2021-08-18,5.670000,5.806000,5.656000,5.795000,5.079522,19929259
2021-08-19,5.650000,5.686000,5.540000,5.589000,4.898956,12714054
2021-08-20,5.585000,5.629000,5.508000,5.554000,4.868277,15899169
2021-08-23,5.602000,5.626000,5.555000,5.583000,4.893697,10257628
2021-08-24,5.600000,5.614000,5.454000,5.500000,4.820944,13382475
2021-08-25,5.514000,5.723000,5.508000,5.707000,5.002387,16087675
2021-08-26,5.684000,5.709000,5.603000,5.613000,4.919993,10038040
2021-08-27,5.600000,5.612000,5.508000,5.580000,4.891067,7953758
2021-08-30,5.589000,5.620000,5.527000,5.535000,4.851623,5222088
2021-08-31,5.535000,5.575000,5.471000,5.547000,4.862141,18690447
2021-09-01,5.624000,5.688000,5.602000,5.637000,4.941030,13229785
2021-09-02,5.650000,5.673000,5.560000,5.609000,4.916486,15794366
2021-09-03,5.640000,5.666000,5.565000,5.568000,4.880548,15224363
2021-09-06,5.589000,5.636000,5.556000,5.564000,4.877043,4133474
2021-09-07,5.564000,5.628000,5.556000,5.593000,4.902462,9855859
2021-09-08,5.560000,5.602000,5.469000,5.520000,4.838475,19836678
2021-09-09,5.490000,5.545000,5.430000,5.512000,4.831462,12711737
2021-09-10,5.548000,5.599000,5.479000,5.500000,4.820944,12278613
2021-09-13,5.519000,5.602000,5.482000,5.597000,4.905968,14537552
2021-09-14,5.602000,5.685000,5.569000,5.580000,4.891067,21584625
2021-09-15,5.583000,5.668000,5.551000,5.602000,4.910351,21017089
2021-09-16,5.630000,5.757000,5.618000,5.724000,5.017288,22507768
2021-09-17,5.779000,5.859000,5.666000,5.672000,4.971708,228528294
2021-09-20,5.582000,5.589000,5.248000,5.248000,4.600058,51902596
2021-09-21,5.319000,5.363000,5.250000,5.281000,4.628983,31220683
2021-09-22,5.369000,5.460000,5.290000,5.418000,4.749068,19993018
2021-09-23,5.483000,5.572000,5.441000,5.570000,4.882301,29085498
2021-09-24,5.529000,5.691000,5.490000,5.661000,4.962067,27448351
2021-09-27,5.678000,5.790000,5.618000,5.780000,5.066374,21280073
2021-09-28,5.795000,5.830000,5.684000,5.687000,4.984856,22088151
2021-09-29,5.719000,5.745000,5.618000,5.742000,5.033066,16786860
2021-09-30,5.790000,5.812000,5.700000,5.717000,5.011152,24467243
2021-10-01,5.610000,5.646000,5.511000,5.633000,4.937523,72674647
2021-10-04,5.600000,5.710000,5.557000,5.634000,4.938399,159270777
2021-10-05,5.603000,6.000000,5.600000,6.000000,5.259212,75905029
2021-10-06,5.970000,5.999000,5.870000,5.945000,5.211002,96665299
2021-10-07,6.000000,6.078000,5.925000,6.040000,5.294273,62144455
2021-10-08,5.964000,6.002000,5.900000,5.930000,5.267624,15036824
2021-10-11,5.913000,5.983000,5.883000,5.914000,5.253411,25593390
2021-10-12,5.810000,5.904000,5.757000,5.904000,5.244528,44775025
2021-10-13,5.875000,5.920000,5.690000,5.690000,5.054432,18621548
2021-10-14,5.710000,5.754000,5.580000,5.637000,5.007352,20399896
2021-10-15,5.680000,5.835000,5.675000,5.769000,5.124608,49382233
2021-10-18,5.747000,5.823000,5.736000,5.823000,5.172576,142724592
2021-10-19,5.801000,5.857000,5.754000,5.776000,5.130826,67112623
2021-10-20,5.763000,5.862000,5.717000,5.830000,5.178794,84651212
2021-10-21,5.777000,5.787000,5.637000,5.661000,5.028671,49572742
2021-10-22,5.671000,5.727000,5.632000,5.686000,5.050879,15533697
