Id,rank_test_score,mean_test_score,std_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score
51,76,0.8800000000000001,0.02915475947422653,0.13481616973876953,0.0018345310817295339,0.0008007526397705078,0.0002453011630556119,0.25,1,200,"{'learning_rate': 0.25, 'max_depth': 1, 'n_estimators': 200}",0.875,0.85,0.85,0.9,0.925
76,76,0.8800000000000001,0.02915475947422653,0.3335868358612061,0.0032214976246047523,0.0009007930755615234,0.00020029546958806076,0.1,1,500,"{'learning_rate': 0.1, 'max_depth': 1, 'n_estimators': 500}",0.875,0.85,0.85,0.9,0.925
141,76,0.8800000000000001,0.036742346141747706,0.3903357982635498,0.03759448395679289,0.0011010169982910156,0.0004903199199930634,0.01,4,200,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 200}",0.9,0.85,0.9,0.925,0.825
77,76,0.8800000000000001,0.024494897427831803,0.683788251876831,0.023319301764476753,0.001100921630859375,0.00020020015895315458,0.1,1,1000,"{'learning_rate': 0.1, 'max_depth': 1, 'n_estimators': 1000}",0.9,0.85,0.85,0.9,0.9
101,76,0.8800000000000001,0.02915475947422653,0.7652582168579102,0.05853301852862733,0.0010009765625,1.9073486328124998e-07,0.05,1,1000,"{'learning_rate': 0.05, 'max_depth': 1, 'n_estimators': 1000}",0.875,0.85,0.85,0.9,0.925
25,82,0.8799999999999999,0.036742346141747706,0.03462972640991211,0.0018290232065839786,0.0007007598876953125,0.00024514542873849593,0.5,1,50,"{'learning_rate': 0.5, 'max_depth': 1, 'n_estimators': 50}",0.9,0.9,0.85,0.825,0.925
8,82,0.8799999999999999,0.02915475947422653,0.09758391380310058,0.002759135262005332,0.0007006168365478515,0.0002451649148496235,1,2,100,"{'learning_rate': 1, 'max_depth': 2, 'n_estimators': 100}",0.9,0.85,0.875,0.925,0.85
9,82,0.8799999999999999,0.02915475947422653,0.18265738487243652,0.029159333797687897,0.0007004737854003906,0.0002451843623177694,1,2,200,"{'learning_rate': 1, 'max_depth': 2, 'n_estimators': 200}",0.9,0.85,0.875,0.925,0.85
116,82,0.8799999999999999,0.02915475947422653,0.18696093559265137,0.012487104652872809,0.0009006500244140625,0.00020010513244034174,0.05,4,100,"{'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 100}",0.9,0.875,0.9,0.9,0.825
10,82,0.8799999999999999,0.02915475947422653,0.266229248046875,0.005417620405013286,0.000800466537475586,0.0002450675151899575,1,2,500,"{'learning_rate': 1, 'max_depth': 2, 'n_estimators': 500}",0.9,0.85,0.875,0.925,0.85
117,82,0.8799999999999999,0.036742346141747706,0.363812780380249,0.031092656473948075,0.0010009765625,2.431401974483864e-07,0.05,4,200,"{'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 200}",0.925,0.85,0.9,0.9,0.825
11,82,0.8799999999999999,0.02915475947422653,0.4590950012207031,0.005568925110670099,0.0012009143829345703,0.0002450871559319221,1,2,1000,"{'learning_rate': 1, 'max_depth': 2, 'n_estimators': 1000}",0.9,0.85,0.875,0.925,0.85
142,82,0.8799999999999999,0.02915475947422653,0.8803572654724121,0.034280553723540955,0.0013010978698730468,0.0002452233731645966,0.01,4,500,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 500}",0.9,0.875,0.9,0.9,0.825
42,90,0.875,0.04999999999999998,0.021018123626708983,0.0030357443752952146,0.000500345230102539,1.1680077279964342e-07,0.5,4,10,"{'learning_rate': 0.5, 'max_depth': 4, 'n_estimators': 10}",0.9,0.875,0.85,0.95,0.8
14,90,0.875,0.03872983346207416,0.11840152740478516,0.018535306691464793,0.0006006717681884766,0.0001999855609979217,1,3,100,"{'learning_rate': 1, 'max_depth': 3, 'n_estimators': 100}",0.95,0.85,0.85,0.85,0.875
15,90,0.875,0.03872983346207416,0.1451249599456787,0.008427718574099479,0.0007005214691162109,0.00024524284381117345,1,3,200,"{'learning_rate': 1, 'max_depth': 3, 'n_estimators': 200}",0.95,0.85,0.85,0.85,0.875
129,90,0.875,0.022360679774997918,0.22189064025878907,0.0195273525729656,0.0006004810333251953,0.00020020010216655938,0.01,2,200,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 200}",0.85,0.875,0.85,0.9,0.9
16,90,0.875,0.03872983346207416,0.2671297550201416,0.03307476554486131,0.0008007526397705078,0.00024530111670978654,1,3,500,"{'learning_rate': 1, 'max_depth': 3, 'n_estimators': 500}",0.95,0.85,0.85,0.85,0.875
17,90,0.875,0.03872983346207416,0.4753089904785156,0.05609392659910129,0.0010005950927734375,3.504023183989303e-07,1,3,1000,"{'learning_rate': 1, 'max_depth': 3, 'n_estimators': 1000}",0.95,0.85,0.85,0.85,0.875
83,90,0.875,0.022360679774997918,1.0236805915832519,0.04149232905161713,0.001801443099975586,0.001123715760214792,0.1,2,1000,"{'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 1000}",0.9,0.85,0.85,0.9,0.875
52,97,0.8700000000000001,0.02915475947422653,0.3399925708770752,0.008648030464285632,0.0008008480072021484,0.00024498981816738896,0.25,1,500,"{'learning_rate': 0.25, 'max_depth': 1, 'n_estimators': 500}",0.9,0.85,0.825,0.875,0.9
53,97,0.8700000000000001,0.02915475947422653,0.6801850318908691,0.013055012499553542,0.0010007381439208984,1.1680077279964343e-07,0.25,1,1000,"{'learning_rate': 0.25, 'max_depth': 1, 'n_estimators': 1000}",0.9,0.825,0.85,0.875,0.9
66,99,0.8699999999999999,0.018708286933869722,0.018115711212158204,0.000735462036402481,0.000500345230102539,1.1680077279964342e-07,0.25,4,10,"{'learning_rate': 0.25, 'max_depth': 4, 'n_estimators': 10}",0.85,0.85,0.875,0.9,0.875
31,99,0.8699999999999999,0.04847679857416327,0.053546142578125,0.011055003477215343,0.0007006168365478515,0.0002450676079699542,0.5,2,50,"{'learning_rate': 0.5, 'max_depth': 2, 'n_estimators': 50}",0.85,0.8,0.875,0.875,0.95
13,99,0.8699999999999999,0.04847679857416326,0.0730626106262207,0.014869095128826344,0.0007005691528320313,0.0002452037711521282,1,3,50,"{'learning_rate': 1, 'max_depth': 3, 'n_estimators': 50}",0.95,0.8,0.875,0.875,0.85
27,99,0.8699999999999999,0.024494897427831803,0.13231382369995118,0.001940760984759957,0.0006006717681884766,0.0002002240078992451,0.5,1,200,"{'learning_rate': 0.5, 'max_depth': 1, 'n_estimators': 200}",0.9,0.875,0.825,0.875,0.875
18,103,0.865,0.033911649915626375,0.022219038009643553,0.005244675597492002,0.0006004810333251953,0.00020008087158203126,1,4,10,"{'learning_rate': 1, 'max_depth': 4, 'n_estimators': 10}",0.85,0.85,0.825,0.875,0.925
32,103,0.865,0.033911649915626375,0.11820168495178222,0.011604912137614276,0.0007006168365478515,0.00024516482210645157,0.5,2,100,"{'learning_rate': 0.5, 'max_depth': 2, 'n_estimators': 100}",0.875,0.825,0.85,0.85,0.925
134,103,0.865,0.03741657386773941,0.13821911811828613,0.008206960632005928,0.0008006095886230469,0.00024508697038669384,0.01,3,100,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}",0.9,0.8,0.875,0.9,0.85
3,103,0.865,0.025495097567963948,0.16764440536499023,0.022772855770151066,0.0007006168365478515,0.0002449702160297035,1,1,200,"{'learning_rate': 1, 'max_depth': 1, 'n_estimators': 200}",0.85,0.875,0.875,0.825,0.9
28,103,0.865,0.025495097567963948,0.3572071552276611,0.03717845201575415,0.0008007526397705078,0.00024520391024477543,0.5,1,500,"{'learning_rate': 0.5, 'max_depth': 1, 'n_estimators': 500}",0.9,0.825,0.85,0.875,0.875
4,108,0.8600000000000001,0.025495097567963945,0.31687273979187014,0.024471834179411435,0.0008008956909179687,0.0002454183807070072,1,1,500,"{'learning_rate': 1, 'max_depth': 1, 'n_estimators': 500}",0.9,0.825,0.85,0.85,0.875
5,108,0.8600000000000001,0.025495097567963945,0.5978144645690918,0.07021911061368334,0.001101064682006836,0.00020012864050819048,1,1,1000,"{'learning_rate': 1, 'max_depth': 1, 'n_estimators': 1000}",0.9,0.825,0.85,0.85,0.875
7,110,0.86,0.020000000000000018,0.05154438018798828,0.00580169560903177,0.0007005691528320313,0.0002451064796983492,1,2,50,"{'learning_rate': 1, 'max_depth': 2, 'n_estimators': 50}",0.875,0.825,0.875,0.875,0.85
98,110,0.86,0.020000000000000018,0.0677581787109375,0.0019147536157678284,0.0007007598876953125,0.0002451453823632284,0.05,1,100,"{'learning_rate': 0.05, 'max_depth': 1, 'n_estimators': 100}",0.875,0.825,0.875,0.875,0.85
124,110,0.86,0.020000000000000018,0.3417940139770508,0.008957504489217762,0.0009007453918457031,0.00020027166321163282,0.01,1,500,"{'learning_rate': 0.01, 'max_depth': 1, 'n_estimators': 500}",0.875,0.825,0.875,0.875,0.85
1,113,0.8549999999999999,0.05787918451395111,0.032628345489501956,0.002269171446002863,0.0006007194519042969,0.0002000808715820313,1,1,50,"{'learning_rate': 1, 'max_depth': 1, 'n_estimators': 50}",0.875,0.85,0.825,0.775,0.95
73,113,0.8549999999999999,0.018708286933869726,0.03452963829040527,0.0013049894310387378,0.0007006168365478515,0.0002450675151899575,0.1,1,50,"{'learning_rate': 0.1, 'max_depth': 1, 'n_estimators': 50}",0.875,0.825,0.85,0.875,0.85
6,115,0.85,0.038729833462074204,0.010408878326416016,0.0002001527592563137,0.000600433349609375,0.00020022395111941386,1,2,10,"{'learning_rate': 1, 'max_depth': 2, 'n_estimators': 10}",0.925,0.825,0.85,0.825,0.825
54,115,0.85,0.022360679774997918,0.011309623718261719,0.0006787674527589767,0.0006006240844726562,0.00020024806974251277,0.25,2,10,"{'learning_rate': 0.25, 'max_depth': 2, 'n_estimators': 10}",0.875,0.875,0.825,0.85,0.825
12,115,0.85,0.0570087712549569,0.015112924575805663,0.0027112224978452374,0.0005001068115234375,3.234066955149302e-07,1,3,10,"{'learning_rate': 1, 'max_depth': 3, 'n_estimators': 10}",0.925,0.775,0.8,0.85,0.9
